Name,Position,Club,Contract End Date,Market Value,Fee Paid,Agent
Ferland Mendy,Left-Back,Real Madrid,"Jun 30, 2025",EUR22.00m,EUR48.00m,FAIR SPORT MNG
Yarek Gasiorowski,Centre-Back,Valencia CF,"Jun 30, 2025",EUR15.00m,-,INVSPORT (Sergio Barila)
Alvaro Valles,Goalkeeper,UD Las Palmas,"Jun 30, 2025",EUR12.00m,-,YOU FIRST
Koke,Central Midfield,Atletico de Madrid,"Jun 30, 2025",EUR12.00m,-,Gesport Espizua SL
Daniel Carvajal,Right-Back,Real Madrid,"Jun 30, 2025",EUR12.00m,EUR6.50m,Be Loyal by Gines Carvajal
Reinildo Mandava,Left-Back,Atletico de Madrid,"Jun 30, 2025",EUR9.00m,EUR3.00m,Blueprivate Investimentos Lda
Javi Puado,Left Winger,RCD Espanyol Barcelona,"Jun 30, 2025",EUR8.00m,-,DCGLOBALSL
Abdel Abqar,Centre-Back,Deportivo Alaves,"Jun 30, 2025",EUR7.50m,-,11MANGMT
Luka Modric,Central Midfield,Real Madrid,"Jun 30, 2025",EUR6.00m,EUR35.00m,Universal Twenty Two
Robert Navarro,Attacking Midfield,RCD Mallorca,"Jun 30, 2025",EUR6.00m,EUR850k,N/A
Martin Valjent,Centre-Back,RCD Mallorca,"Jun 30, 2025",EUR6.00m,EUR1.50m,20 Sport
Hamari Traore,Right-Back,Real Sociedad,"Jun 30, 2025",EUR6.00m,free transfer,LA PLAYERS
Inigo Ruiz de Galarreta,Central Midfield,Athletic Bilbao,"Jun 30, 2025",EUR5.00m,free transfer,Global Ases
James Rodriguez,Attacking Midfield,Rayo Vallecano,"Jun 30, 2025",EUR5.00m,free transfer,Gestifute
Inigo Martinez,Centre-Back,FC Barcelona,"Jun 30, 2025",EUR5.00m,free transfer,Carmelo Sanchez
Suso,Right Winger,Sevilla FC,"Jun 30, 2025",EUR4.00m,EUR21.70m,Promoesport
Valentin Rosier,Right-Back,CD Leganes,"Jun 30, 2025",EUR4.00m,free transfer,Gol International
Lucas Vazquez,Right-Back,Real Madrid,"Jun 30, 2025",EUR4.00m,EUR1.00m,AC Talent
