Name,Position,Club,Market Value (During Transfer),Goals Scored,Minutes Played,Assists
Dani Olmo,Midfield,FC Barcelona,EUR60.00m,3,189,3
Ayoze Perez,Attack,Villarreal CF,EUR7.00m,5,248,3
Borja Iglesias,Centre-Forward,Celta de Vigo,EUR5.00m,5,243,3
Abel Ruiz,Centre-Forward,Girona FC,EUR12.00m,5,373,2
Giovani Lo Celso,Midfield,Real Betis Balompie,EUR16.00m,2,107,2
Toni Martinez,Centre-Forward,Deportivo Alaves,EUR5.00m,3,72,2
Raul Moro,Attack,Real Valladolid CF,EUR2.50m,5,336,2
Juan Cruz,Attack,CD Leganes,EUR1.50m,5,247,2
Alexander Sorloth,Centre-Forward,Atletico de Madrid,EUR25.00m,5,208,1
Sergi Cardona,Defender,Villarreal CF,EUR6.00m,5,446,1
Hugo Alvarez,Attack,Celta de Vigo,EUR1.50m,5,392,1
Julian Alvarez,Centre-Forward,Atletico de Madrid,EUR90.00m,5,237,1
Endrick,Centre-Forward,Real Madrid,EUR60.00m,4,10,1
Conor Gallagher,Midfield,Atletico de Madrid,EUR50.00m,3,192,1
Vitor Roque,Centre-Forward,Real Betis Balompie,EUR30.00m,3,147,1
Logan Costa,Defender,Villarreal CF,EUR12.00m,3,212,1
Bryan Gil,Attack,Girona FC,EUR14.00m,5,395,1
Alejo Veliz,Centre-Forward,RCD Espanyol Barcelona,EUR9.00m,5,371,1
Enzo Boyomo,Defender,CA Osasuna,EUR3.00m,2,180,1
Tomas Conechny,Attack,Deportivo Alaves,EUR4.50m,4,271,1
Thierno Barry,Centre-Forward,Villarreal CF,EUR4.00m,4,236,1
Abel Bretones,Defender,CA Osasuna,EUR1.80m,4,330,1
Asier Villalibre,Centre-Forward,Deportivo Alaves,EUR2.50m,3,85,1
Alex Munoz,Defender,UD Las Palmas,EUR1.20m,3,192,1
Chrisantus Uche,Midfield,Getafe CF,EUR400k,5,444,1
Enric Franquesa,Defender,CD Leganes,EUR1.50m,5,249,1
Oli McBurnie,Centre-Forward,UD Las Palmas,EUR4.50m,5,422,0
Alvaro Tejero,Defender,RCD Espanyol Barcelona,EUR2.00m,5,246,0
Sergio Gomez,Attack,Real Sociedad,EUR10.00m,6,418,0
Marc Roca,Midfield,Real Betis Balompie,EUR9.00m,5,437,0
Walid Cheddira,Centre-Forward,RCD Espanyol Barcelona,EUR6.00m,3,78,0
Donny van de Beek,Midfield,Girona FC,EUR5.00m,2,30,0
Stoichkov,Second Striker,Deportivo Alaves,EUR4.00m,5,288,0
Diego Conde,Goalkeeper,Villarreal CF,EUR2.00m,5,450,0
Joan Jordan,Midfield,Deportivo Alaves,EUR3.50m,1,26,0
Gerard Gumbau,Midfield,Rayo Vallecano,EUR3.00m,3,135,0
Marc Casado,Midfield,FC Barcelona,EUR2.50m,3,241,0
Rafa Mir,Centre-Forward,Valencia CF,EUR2.50m,4,241,0
Oscar Rodriguez,Midfield,CD Leganes,EUR2.50m,4,250,0
Amath Ndiaye,Attack,Real Valladolid CF,EUR1.50m,4,182,0
Adrian Embarba,Attack,Rayo Vallecano,EUR1.80m,5,341,0
Diego Rico,Defender,Getafe CF,EUR1.50m,5,444,0
Pablo Duran,Centre-Forward,Celta de Vigo,EUR300k,2,79,0
Bryan Zaragoza,Attack,CA Osasuna,EUR12.00m,5,335,0
Iker Almena,Attack,Girona FC,-,2,46,0
Giorgi Mamardashvili,Goalkeeper,Valencia CF,EUR45.00m,5,450,0
Robin Le Normand,Defender,Atletico de Madrid,EUR40.00m,5,450,0
Nayef Aguerd,Defender,Real Sociedad,EUR35.00m,2,165,0
Albert Sambi Lokonga,Midfield,Sevilla FC,EUR15.00m,2,153,0
Alvaro Djalo,Attack,Athletic Bilbao,EUR15.00m,2,84,0
Arnaut Danjuma,Attack,Girona FC,EUR13.00m,2,100,0
Valentin Barco,Defender,Sevilla FC,EUR13.00m,2,91,0
Natan,Defender,Real Betis Balompie,EUR12.00m,4,274,0
Kelechi Iheanacho,Centre-Forward,Sevilla FC,EUR12.00m,2,75,0
Fabio Silva,Centre-Forward,UD Las Palmas,EUR11.00m,1,27,0
Clement Lenglet,Defender,Atletico de Madrid,EUR10.00m,0,0,0
Sebastien Haller,Centre-Forward,CD Leganes,EUR10.00m,1,90,0
Pau Lopez,Goalkeeper,Girona FC,EUR10.00m,0,0,0
Hector Fort,Defender,FC Barcelona,EUR10.00m,1,29,0
Yaser Asprilla,Attack,Girona FC,EUR9.00m,3,84,0
Scott McKenna,Defender,UD Las Palmas,EUR9.00m,5,368,0
Nicolas Pepe,Attack,Villarreal CF,EUR8.50m,4,132,0
Manu Sanchez,Defender,Deportivo Alaves,EUR8.00m,4,297,0
Ladislav Krejci,Defender,Girona FC,EUR10.00m,1,9,0
Saul Niguez,Midfield,Sevilla FC,EUR7.50m,2,179,0
Javi Lopez,Defender,Real Sociedad,EUR7.50m,5,379,0
Enzo Barrenechea,Midfield,Valencia CF,EUR7.50m,1,45,0
Diego Llorente,Defender,Real Betis Balompie,EUR7.00m,5,450,0
Unai Nunez,Defender,Athletic Bilbao,EUR7.00m,0,0,0
Lucien Agoume,Midfield,Sevilla FC,EUR6.00m,5,277,0
Chidera Ejuke,Attack,Sevilla FC,EUR6.00m,4,266,0
Luiz Junior,Goalkeeper,Villarreal CF,EUR6.00m,0,0,0
Orri Oskarsson,Centre-Forward,Real Sociedad,EUR5.00m,3,80,0
Andoni Gorosabel,Defender,Athletic Bilbao,EUR5.00m,2,94,0
Alex Kral,Midfield,RCD Espanyol Barcelona,EUR5.00m,5,393,0
Juan Musso,Goalkeeper,Atletico de Madrid,EUR5.00m,1,90,0
Romain Perraud,Defender,Real Betis Balompie,EUR5.00m,5,360,0
Augusto Batalla,Goalkeeper,Rayo Vallecano,EUR5.00m,1,90,0
Willy Kambwala,Defender,Villarreal CF,EUR5.00m,1,90,0
Luka Romero,Attack,Deportivo Alaves,EUR5.00m,3,95,0
Renato Tapia,Midfield,CD Leganes,EUR5.00m,5,109,0
James Rodriguez,Midfield,Rayo Vallecano,EUR5.00m,1,3,0
Bojan Miovski,Centre-Forward,Girona FC,EUR4.00m,2,95,0
Marash Kumbulla,Defender,RCD Espanyol Barcelona,EUR4.50m,4,335,0
Takuma Asano,Attack,RCD Mallorca,EUR4.00m,6,321,0
Alejandro Frances,Defender,Girona FC,EUR4.00m,3,264,0
Stipe Biuk,Attack,Real Valladolid CF,EUR4.00m,0,0,0
Peque Fernandez,Second Striker,Sevilla FC,EUR3.00m,3,108,0
Cenk Ozkacar,Defender,Real Valladolid CF,EUR4.00m,2,92,0
Alex Sola,Attack,Getafe CF,EUR4.00m,5,373,0
Valentin Rosier,Defender,CD Leganes,EUR4.00m,5,393,0
Luis Rioja,Attack,Valencia CF,EUR4.00m,4,271,0
Eray Comert,Defender,Real Valladolid CF,EUR4.00m,4,326,0
Juan Bernat,Defender,Villarreal CF,EUR4.00m,2,17,0
Stole Dimitrievski,Goalkeeper,Valencia CF,EUR4.00m,0,0,0
Carlos Martin,Centre-Forward,Deportivo Alaves,EUR3.50m,2,55,0
Bertug Yildirim,Centre-Forward,Getafe CF,EUR3.50m,3,243,0
Ricardo Rodriguez,Defender,Real Betis Balompie,EUR3.50m,2,90,0
Jackson Porozo,Defender,CD Leganes,EUR3.30m,0,0,0
Ilaix Moriba,Midfield,Celta de Vigo,EUR3.00m,3,159,0
Chiquinho,Attack,RCD Mallorca,EUR3.00m,0,0,0
Victor Meseguer,Midfield,Real Valladolid CF,EUR2.20m,5,155,0
Peter Federico,Attack,Getafe CF,EUR3.00m,5,135,0
Juanmi Latasa,Centre-Forward,Real Valladolid CF,EUR2.80m,3,152,0
Pau Victor,Centre-Forward,FC Barcelona,EUR1.50m,4,27,0
Hugo Novoa,Defender,Deportivo Alaves,EUR2.50m,3,130,0
Pedro Diaz,Midfield,Rayo Vallecano,EUR2.50m,1,5,0
Miguel de la Fuente,Centre-Forward,CD Leganes,EUR2.50m,4,283,0
Carles Perez,Attack,Getafe CF,EUR2.50m,5,309,0
Maximiliano Caufriez,Defender,Valencia CF,EUR2.50m,0,0,0
Naci Unuvar,Attack,RCD Espanyol Barcelona,EUR2.50m,0,0,0
Alvaro Fernandez,Goalkeeper,Sevilla FC,EUR2.50m,0,0,0
Munir El Haddadi,Attack,CD Leganes,EUR2.50m,2,64,0
Valery Fernandez,Attack,RCD Mallorca,EUR2.50m,2,47,0
Jon Aramburu,Defender,Real Sociedad,EUR2.50m,4,171,0
Roberto Lopez,Midfield,CD Leganes,EUR2.50m,2,26,0
Manu Fuster,Attack,UD Las Palmas,EUR2.40m,4,78,0
Juan Berrocal,Defender,Getafe CF,EUR1.00m,1,90,0
Johan Mojica,Defender,RCD Mallorca,EUR2.20m,6,396,0
Stanko Juric,Midfield,Real Valladolid CF,EUR2.20m,5,305,0
Karl Hein,Goalkeeper,Real Valladolid CF,EUR2.00m,5,450,0
Marvin Park,Attack,UD Las Palmas,EUR2.00m,5,366,0
Marcos Alonso,Defender,Celta de Vigo,EUR2.00m,1,15,0
Moussa Diarra,Defender,Deportivo Alaves,EUR2.00m,3,155,0
Santiago Mourino,Defender,Deportivo Alaves,EUR1.20m,1,26,0
Oriol Romeu,Midfield,Girona FC,EUR2.00m,4,241,0
Iker Losada,Second Striker,Real Betis Balompie,EUR1.80m,2,19,0
Juan Soriano,Goalkeeper,CD Leganes,EUR1.50m,5,450,0
