Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Kylian Mbappe,Centre-Forward,25,EUR180.00m,France,Real Madrid,LaLiga,free transfer
Victor Osimhen,Centre-Forward,25,EUR100.00m,Nigeria,Galatasaray,Super Lig,loan transfer
Julian Alvarez,Centre-Forward,24,EUR90.00m,Argentina,Atletico Madrid,LaLiga,EUR75.00m
Douglas Luiz,Central Midfield,26,EUR70.00m,Brazil,Juventus,Serie A,EUR51.50m
Matthijs de Ligt,Centre-Back,25,EUR65.00m,Netherlands,Man Utd,Premier League,EUR45.00m
Dani Olmo,Attacking Midfield,26,EUR60.00m,Spain,Barcelona,LaLiga,EUR55.00m
Endrick,Centre-Forward,18,EUR60.00m,Brazil,Real Madrid,LaLiga,EUR47.50m
Pedro Neto,Right Winger,24,EUR55.00m,Portugal,Chelsea,Premier League,EUR60.00m
Moussa Diaby,Right Winger,25,EUR55.00m,France,Al-Ittihad,Saudi Pro League,EUR60.00m
Joao Neves,Defensive Midfield,19,EUR55.00m,Portugal,Paris SG,Ligue 1,EUR59.92m
Michael Olise,Right Winger,22,EUR55.00m,France,Bayern Munich,Bundesliga,EUR53.00m
Joao Palhinha,Defensive Midfield,29,EUR55.00m,Portugal,Bayern Munich,Bundesliga,EUR51.00m
Leny Yoro,Centre-Back,18,EUR50.00m,France,Man Utd,Premier League,EUR62.00m
Amadou Onana,Defensive Midfield,22,EUR50.00m,Belgium,Aston Villa,Premier League,EUR59.35m
Teun Koopmeiners,Attacking Midfield,26,EUR50.00m,Netherlands,Juventus,Serie A,EUR54.70m
Joshua Zirkzee,Centre-Forward,23,EUR50.00m,Netherlands,Man Utd,Premier League,EUR42.50m
Conor Gallagher,Central Midfield,24,EUR50.00m,England,Atletico Madrid,LaLiga,EUR42.00m
Ivan Toney,Centre-Forward,28,EUR50.00m,England,Al-Ahli,Saudi Pro League,EUR42.00m
Mikel Merino,Central Midfield,28,EUR50.00m,Spain,Arsenal,Premier League,EUR32.00m
Savinho,Right Winger,20,EUR50.00m,Brazil,Man City,Premier League,EUR25.00m
Manuel Ugarte,Defensive Midfield,23,EUR45.00m,Uruguay,Man Utd,Premier League,EUR50.00m
Riccardo Calafiori,Centre-Back,22,EUR45.00m,Italy,Arsenal,Premier League,EUR45.00m
